t,step,s,lap,x,y,Ux,v_ref,v_err,a_cmd,acc,brake,e,dphi,delta,steer,delta_ff,delta_fb,beta,r,r_des,w_meas,x_la,gain_scale,dt,kappa,kappa_abs
87.3949417,0,3871.5441414661473,0,-523.8034057617188,145.94276428222656,0.003365614451467991,4.0,3.996634385548532,6.003365614451468,-0.2495792981935665,-1.0,0.2619638712151472,0.018420136714188295,0.007652606883060728,0.0021240000000091186,0.0013745813837745132,0.006278025499286215,0.0004373952700288216,-5.819378566229716e-05,0.002996734544719879,0.0,2.0,0.15,0.0017700000000075988,0.0009989115149066263,0.0009989115149066263
87.4095439,1,3871.5441414661473,0,-523.803466796875,145.94285583496094,0.0036011149641126394,4.0,3.9963988850358874,5.213334853955982,-0.34833314325550224,-1.0,0.26196070951906125,0.018412507319657045,0.0076515867098167056,0.019646640000007664,0.0013745813837745132,0.006277005326042192,-0.0009630350329239656,-0.00215465878136456,0.002996734544719879,0.0,2.0,0.15,0.014602199999998788,0.0009989115149066263,0.0009989115149066263
87.449197,2,3871.5441414661473,0,-523.8035888671875,145.94305419921875,0.008205447345972061,4.0,3.991794552654028,5.244836572655817,-0.34439542841802284,-1.0,0.26194556075741604,0.01841322257539435,0.007651450673498534,0.0365329858953331,0.0013745813837745132,0.006276869289724021,0.007880777879712761,-0.008249170146882534,0.002996734544719879,0.0,2.0,0.15,0.039653099999995334,0.0009989115149066263,0.0009989115149066263
87.4895916,3,3871.5455099551764,0,-523.8037719726562,145.94338989257812,0.010349234566092491,4.0,3.9896507654339075,5.296702171901262,-0.33791222851234226,-1.0,0.2619007741912648,0.018317378306595522,0.007638558730734414,0.03647143140282408,0.0013745813837745132,0.0062639773469599005,-0.01355396185997916,-0.00758401770144701,0.002996734544719879,0.0,2.0,0.15,0.04039459999999906,0.0009989115149066263,0.0009989115149066263
87.5296136,4,3871.5455099551764,0,-523.8040161132812,145.94381713867188,0.013218867592513561,4.0,3.9867811324074864,5.338976309698519,-0.3326279612876851,-1.0,0.2618528259290276,0.01833525970002814,0.007640119384463516,0.03647888297548732,0.0013745813837745134,0.006265538000689002,-0.008518356608725675,0.003743143519386649,0.002996734544719879,0.0,2.0,0.15,0.04002200000000755,0.0009989115149066263,0.0009989115149066263
87.5696569,5,3871.5471521420113,0,-523.8043823242188,145.94427490234375,0.01591622084379196,4.0,3.984083779156208,5.383764556750267,-0.32702943040621657,-1.0,0.2618868079693524,0.018322861933914858,0.007639048399888944,0.03647376940081677,0.0013745813837745136,0.00626446701611443,0.007972039895270334,-0.001870008185505867,0.002996734544719879,0.0,2.0,0.15,0.040043299999993565,0.0009989115149066263,0.0009989115149066263
87.609994,6,3871.5471521420113,0,-523.8048095703125,145.94482421875,0.01855844259262085,4.0,3.981441557407379,5.4286953503731326,-0.32141308120335843,-1.0,0.2619176283135913,0.018331206584183413,0.007640574647961767,0.036481056698572004,0.0013745813837745136,0.006265993264187254,0.000385556816576337,0.0013989022700116038,0.002996734544719879,0.0,2.0,0.15,0.040337100000002124,0.0009989115149066263,0.0009989115149066263
87.6507504,7,3871.5471521420113,0,-523.8052978515625,145.9454803466797,0.020980844274163246,4.0,3.9790191557258368,5.47480411784051,-0.3156494852699363,-1.0,0.26193646159227085,0.0183140404464881,0.007638668464585809,0.0364719553433703,0.0013745813837745136,0.006264087080811296,-0.0027309658098782713,-0.0016811025561764836,0.002996734544719879,0.0,2.0,0.15,0.040756400000006465,0.0009989115149066263,0.0009989115149066263
87.6903303,8,3871.5485206310404,0,-523.8057861328125,145.94619750976562,0.02318206988275051,4.383166763895611,4.35998469401286,6.0231820698827505,-0.24710224126465619,-1.0,0.26191999339305694,0.01831070258638068,0.007637995864433904,0.0364687439142033,0.0013745813837745136,0.00626341448065939,0.00010425775652462112,0.0004481871728785336,0.002996734544719879,0.0,2.0,0.15,0.03957989999999256,0.0009989115149066263,0.0009989115149066263
87.7308441,9,3871.5501628178754,0,-523.8062133789062,145.94671630859375,0.0,4.931062609382562,4.931062609382562,6.0,-0.25,-1.0,0.26196846447624256,0.018304026866165835,0.007637871776354295,0.036468151437265846,0.0013745813837745136,0.0062632903925797815,0.0,0.0,0.002996734544719879,0.0,2.0,0.15,0.04051379999999938,0.0009989115149066263,0.0009989115149066263
