pos_x,pos_y,speed,yaw,lap_dist,spline_pos
-447.3671,-3.3276,82.2522,-0.020049,316.2,0.062281
-444.0765,-3.3738,82.3164,-0.019652,319.41,0.062913
-440.7834,-3.4278,82.3799,-0.019459,322.62,0.063546
-437.4879,-3.4879,82.44,-0.020594,326.08,0.064227
-434.1899,-3.5532,82.5082,-0.022102,329.29,0.064861
-430.8896,-3.623,82.5531,-0.023477,332.51,0.065495
-427.5841,-3.6978,82.6233,-0.024947,335.98,0.066178
-424.2794,-3.7761,82.6805,-0.02551,339.21,0.066813
-420.966,-3.8582,82.7454,-0.026247,342.43,0.067449
-417.6567,-3.9441,82.7935,-0.028181,345.91,0.068133
-414.3451,-4.0353,82.8682,-0.03025,349.14,0.06877
-411.0312,-4.1295,82.9066,-0.028995,352.37,0.069407
-407.7152,-4.2208,82.9804,-0.024831,355.85,0.070092
-404.3964,-4.3056,83.0389,-0.019507,359.09,0.07073
-401.0749,-4.3802,83.1023,-0.014543,362.33,0.071368
-397.7504,-4.4458,83.1754,-0.013043,365.82,0.072056
-394.4232,-4.5053,83.2411,-0.013871,369.07,0.072695
-391.0931,-4.5613,83.3138,-0.015039,372.32,0.073335
-387.76,-4.6153,83.3849,-0.015262,375.82,0.074025
-384.4244,-4.669,83.4453,-0.015072,379.07,0.074666
-381.0859,-4.7188,83.5195,-0.011841,382.33,0.075307
-377.7447,-4.7634,83.5824,-0.008908,385.84,0.075998
-374.4011,-4.8017,83.6474,-0.006373,389.1,0.07664
-371.0542,-4.8343,83.718,-0.006064,392.36,0.077283
-367.7048,-4.8658,83.7786,-0.008307,395.88,0.077976
-364.3531,-4.8984,83.8439,-0.010616,399.15,0.07862
-360.9984,-4.9308,83.9093,-0.009149,402.42,0.079264
-357.6416,-4.9589,83.9681,-0.004472,405.94,0.079959
-354.282,-4.9805,84.0388,-0.000841,409.22,0.080604
-350.9198,-4.9966,84.0902,-0.000351,412.5,0.08125
-347.5551,-5.01,84.1672,-0.00218,416.03,0.081946
-344.1884,-5.0249,84.2139,-0.00548,419.31,0.082592
-340.8188,-5.0449,84.2871,-0.009583,422.6,0.08324
-337.4469,-5.0728,84.346,-0.012887,426.14,0.083937
-334.0725,-5.1077,84.4026,-0.01429,429.43,0.084585
-330.6962,-5.1486,84.4593,-0.015293,432.73,0.085234
-327.3172,-5.1965,84.5309,-0.017364,436.27,0.085933
-323.9365,-5.2519,84.5666,-0.02111,439.57,0.086583
-320.5539,-5.3187,84.6436,-0.027535,442.87,0.087232
-317.1683,-5.3982,84.7134,-0.03006,446.43,0.087933
-313.7808,-5.482,84.7463,-0.026304,449.73,0.088584
-310.3913,-5.5665,84.8094,-0.023616,453.04,0.089235
-306.9994,-5.6552,84.8751,-0.027323,456.6,0.089937
-303.6052,-5.7508,84.9167,-0.032464,459.91,0.090589
-300.2105,-5.8565,84.9426,-0.039915,463.23,0.091241
-296.8141,-5.9789,85.0263,-0.047289,466.8,0.091945
-293.4156,-6.1164,85.0667,-0.049254,470.11,0.092598
-290.0158,-6.2659,85.1271,-0.050156,473.43,0.093252
-286.6142,-6.4258,85.1836,-0.051718,477.01,0.093956
-283.2104,-6.5924,85.2363,-0.051993,480.33,0.094611
-279.8055,-6.7639,85.2746,-0.052713,483.65,0.095265
-276.3982,-6.9418,85.3535,-0.054889,487.24,0.095971
-272.989,-7.1255,85.3904,-0.056764,490.57,0.096627
-269.5784,-7.3119,85.4448,-0.055506,493.9,0.097283
-266.165,-7.4943,85.5035,-0.049525,497.49,0.097991
-262.7493,-7.6681,85.5593,-0.043464,500.83,0.098647
-259.3307,-7.8331,85.606,-0.041914,504.16,0.099305
-255.9106,-7.9957,85.648,-0.045918,507.76,0.100014
-252.4888,-8.1607,85.6929,-0.050522,511.1,0.100672
-249.0668,-8.3324,85.6829,-0.055213,514.44,0.10133
-245.6471,-8.5152,85.6002,-0.060519,518.04,0.102038
-242.2336,-8.7104,85.391,-0.064898,521.38,0.102695
-238.8332,-8.9219,85.0012,-0.072894,524.7,0.10335
-235.4558,-9.153,84.2392,-0.082005,528.25,0.10405
-232.1179,-9.4017,83.0732,-0.089574,531.51,0.104692
-228.838,-9.6676,81.5319,-0.100051,534.72,0.105324
-225.63,-9.9509,79.6111,-0.111741,538.1,0.10599
-222.494,-10.2548,77.9934,-0.117785,541.17,0.106595
-219.4254,-10.5685,76.3429,-0.120178,544.18,0.107187
-216.4304,-10.8928,74.4412,-0.12456,547.35,0.107811
-213.5062,-11.2264,72.7884,-0.126479,550.21,0.108375
-210.6496,-11.5613,71.1589,-0.124331,553.02,0.108928
-207.8581,-11.8926,69.4749,-0.119605,555.97,0.109509
-205.1303,-12.2165,67.9116,-0.116043,558.65,0.110037
-202.4684,-12.5327,66.2773,-0.115693,561.26,0.110551
-199.8712,-12.8433,64.6008,-0.118573,564.01,0.111093
-197.3363,-13.1479,63.113,-0.121785,566.49,0.111582
-194.8652,-13.4477,61.5024,-0.125355,568.92,0.11206
-192.4595,-13.7457,59.833,-0.129033,571.47,0.112562
-190.1146,-14.0424,58.4199,-0.13199,573.77,0.113015
-187.8288,-14.338,56.9671,-0.135948,576.02,0.113458
-185.6044,-14.6311,55.2942,-0.139274,578.38,0.113923
-183.4434,-14.9225,53.8331,-0.142014,580.5,0.114341
-181.3415,-15.2144,52.4013,-0.146849,582.57,0.114748
-179.2973,-15.5051,50.9699,-0.14851,584.74,0.115176
-177.3047,-15.7935,49.7881,-0.149928,586.7,0.115562
-175.3584,-16.0787,48.7083,-0.152945,588.62,0.11594
-173.4584,-16.3597,47.4019,-0.1553,590.63,0.116337
-171.6111,-16.6355,46.0435,-0.157062,592.46,0.116697
-169.8194,-16.9071,44.7211,-0.158195,594.22,0.117044
-168.0733,-17.1779,43.7084,-0.157925,596.08,0.117409
-166.3673,-17.4464,42.6932,-0.1573,597.76,0.117741
-164.7031,-17.7106,41.6769,-0.157511,599.41,0.118065
-163.0806,-17.9722,40.5887,-0.159898,601.13,0.118405
-161.5,-18.233,39.5976,-0.165591,602.69,0.118713
-159.959,-18.4962,38.6604,-0.175236,604.22,0.119013
-158.4599,-18.7628,37.595,-0.185354,605.82,0.119328
-157.002,-19.036,36.6284,-0.197965,607.26,0.119613
-155.5855,-19.3177,35.6971,-0.212696,608.67,0.11989
-154.2101,-19.609,34.6773,-0.227314,610.15,0.120181
-152.874,-19.9116,33.9763,-0.241386,611.48,0.120444
-151.5676,-20.2288,33.3299,-0.254195,612.79,0.120702
-150.2934,-20.5566,32.5021,-0.265886,614.18,0.120974
-149.0559,-20.8913,31.6518,-0.280441,615.43,0.121221
-147.8562,-21.2301,30.7752,-0.295727,616.65,0.121462
-146.6966,-21.5731,29.7806,-0.309343,617.93,0.121714
-145.5773,-21.9216,28.892,-0.323117,619.09,0.121942
-144.4968,-22.2746,28.0726,-0.337601,620.21,0.122163
-143.4512,-22.6351,27.3059,-0.350975,621.39,0.122394
-142.4395,-23.0028,26.5458,-0.363911,622.45,0.122604
