pos_x,pos_y,speed,target_speed,yaw,lap_dist,spline_pos
-75.6915,290.9681,81.1588,33.4187,-0.577237,142.2,0.030968
-74.3308,290.0823,81.2023,33.4299,-0.577135,143.9,0.031338
-72.9381,289.1758,81.2337,33.4373,-0.577003,145.36,0.031656
-71.5759,288.2895,81.2779,33.4466,-0.576818,147.07,0.032028
-70.213,287.4029,81.3148,33.4569,-0.576693,148.78,0.032401
-68.8492,286.5162,81.3496,33.4657,-0.576508,150.24,0.03272
-67.4846,285.6294,81.3973,33.475,-0.57628,151.95,0.033091
-66.1191,284.7424,81.4347,33.4828,-0.576094,153.66,0.033464
-64.7528,283.8553,81.465,33.4893,-0.575823,155.13,0.033783
-63.3857,282.9681,81.5083,33.4977,-0.57568,156.84,0.034155
-62.0177,282.0807,81.551,33.5065,-0.575417,158.55,0.034529
-60.6489,281.1932,81.5834,33.5144,-0.575256,160.01,0.034847
-59.2793,280.3055,81.6219,33.5233,-0.575066,161.73,0.035221
-57.9089,279.4177,81.6671,33.5336,-0.57491,163.44,0.035594
-56.5377,278.5295,81.7061,33.5398,-0.574778,164.91,0.035914
-55.1657,277.6411,81.7472,33.5474,-0.574636,166.63,0.036289
-53.7929,276.7523,81.7868,33.5571,-0.574522,168.34,0.036661
-52.4194,275.8635,81.816,33.5632,-0.574387,169.81,0.036981
-51.0453,274.9743,81.8502,33.5714,-0.574306,171.54,0.037356
-49.6706,274.085,81.8815,33.5812,-0.574235,173.26,0.037731
-48.2953,273.1953,81.915,33.588,-0.574196,174.73,0.038052
-46.9193,272.3052,81.9663,33.5948,-0.574147,176.46,0.038428
-45.5424,271.4147,82.0129,33.6035,-0.57408,178.18,0.038803
-44.1647,270.5239,82.0468,33.6105,-0.573982,179.66,0.039125
-42.7862,269.6328,82.0855,33.6206,-0.573855,181.38,0.0395
-41.4071,268.7416,82.1214,33.6284,-0.573686,183.09,0.039873
-40.0271,267.8504,82.1494,33.6334,-0.573438,184.59,0.040198
-38.6464,266.9592,82.185,33.6413,-0.573184,186.31,0.040574
-37.249,266.0577,82.2269,33.6497,-0.572962,188.04,0.04095
-35.8666,265.1662,82.2607,33.6566,-0.572781,189.51,0.041271
-34.4836,264.2745,82.2976,33.663,-0.572668,191.24,0.041648
-33.0998,263.3826,82.3296,33.6708,-0.572525,192.97,0.042024
-31.6936,262.4766,82.3684,33.6792,-0.572377,194.69,0.042399
-30.3084,261.5844,82.4062,33.6868,-0.572204,196.18,0.042723
-28.9223,260.692,82.4481,33.6938,-0.572001,197.91,0.0431
-27.5353,259.7994,82.4824,33.7019,-0.571827,199.65,0.043478
-26.1369,258.8999,82.5072,33.7052,-0.571613,201.13,0.043801
-24.7487,258.0072,82.5451,33.7136,-0.571471,202.87,0.044179
-23.3597,257.1141,82.5854,33.7223,-0.571405,204.59,0.044555
-21.9701,256.2208,82.6118,33.7261,-0.571361,205.83,0.044826
-20.58,255.327,82.6503,33.7367,-0.57142,207.81,0.045256
-19.1894,254.4327,82.6767,33.7426,-0.571494,209.3,0.045581
-17.7983,253.538,82.7146,33.7494,-0.571588,211.04,0.045958
-16.4067,252.6427,82.758,33.7539,-0.571682,212.78,0.046338
-15.0145,251.7468,82.7928,33.761,-0.57176,214.27,0.046663
-13.6217,250.8506,82.8265,33.7694,-0.571787,216.01,0.047042
-12.2284,249.954,82.858,33.7767,-0.571789,217.75,0.047421
-10.8346,249.0571,82.8893,33.7838,-0.571809,219.49,0.047799
-9.4403,248.1598,82.9162,33.7894,-0.571824,220.98,0.048124
-8.0456,247.262,82.9514,33.7989,-0.571928,222.72,0.048503
-6.6503,246.3637,82.9972,33.8025,-0.572018,224.47,0.048884
-5.246,245.4594,83.0327,33.8115,-0.572117,225.96,0.049209
-3.8496,244.56,83.0657,33.8181,-0.57219,227.7,0.049588
-2.4527,243.6602,83.0935,33.8265,-0.572237,229.46,0.04997
-1.0555,242.7601,83.1162,33.8338,-0.572286,230.95,0.050295
0.3422,241.8596,83.1512,33.839,-0.572336,232.69,0.050675
1.7405,240.9586,83.19,33.8462,-0.572406,234.44,0.051056
3.1521,240.0487,83.2185,33.8523,-0.57257,235.94,0.051381
4.5511,239.1465,83.2563,33.8599,-0.572788,237.68,0.051762
5.9505,238.2434,83.2934,33.8668,-0.573082,239.44,0.052144
7.3503,237.3396,83.3261,33.8725,-0.573305,240.94,0.05247
8.7505,236.4353,83.3552,33.8774,-0.57348,242.68,0.05285
10.1579,235.526,83.381,33.8871,-0.573608,244.43,0.053232
11.5587,234.6207,83.4074,33.8897,-0.573722,245.94,0.05356
12.9661,233.711,83.4478,33.8972,-0.573836,247.69,0.05394
14.3679,232.8046,83.4861,33.9033,-0.573963,249.45,0.054323
15.7702,231.8977,83.5146,33.9092,-0.57407,250.96,0.054652
17.1729,230.9903,83.5439,33.9159,-0.574221,252.71,0.055033
18.5759,230.0823,83.5738,33.9222,-0.574361,254.46,0.055415
19.9793,229.1739,83.6043,33.9271,-0.574486,255.96,0.055742
21.3832,228.2649,83.6391,33.9326,-0.574597,257.72,0.056125
22.7875,227.3554,83.6702,33.9376,-0.574716,259.47,0.056507
24.1922,226.4454,83.698,33.9442,-0.574865,260.98,0.056836
25.5972,225.5348,83.7286,33.9516,-0.575049,262.74,0.057219
27.0026,224.6237,83.7593,33.956,-0.575184,264.5,0.057602
28.4188,223.7054,83.7868,33.9607,-0.575265,266.01,0.057931
29.8251,222.7934,83.8142,33.9699,-0.575302,267.77,0.058313
31.2318,221.8812,83.8464,33.9759,-0.575314,269.53,0.058697
32.6389,220.9685,83.8742,33.9803,-0.575392,271.04,0.059026
34.0465,220.0553,83.9092,33.9875,-0.575511,272.8,0.059409
35.4546,219.1416,83.9445,33.9955,-0.575609,274.56,0.059793
36.8631,218.2274,83.9731,34.0016,-0.575697,276.07,0.060121
38.2721,217.313,83.996,34.0062,-0.575659,277.84,0.060507
39.6816,216.3985,84.022,34.0117,-0.575564,279.6,0.06089
41.0917,215.4839,84.048,34.0182,-0.575359,281.12,0.061221
42.5024,214.5692,84.077,34.0245,-0.575242,282.88,0.061604
43.9137,213.6545,84.1079,34.0337,-0.575089,284.65,0.061989
45.3256,212.7395,84.1368,34.0376,-0.574979,286.16,0.062319
46.7382,211.8244,84.1729,34.0448,-0.57487,287.93,0.062704
48.1515,210.909,84.2031,34.0529,-0.574766,289.7,0.063089
49.5937,209.9752,84.2287,34.0571,-0.574609,291.46,0.063473
51.008,209.0596,84.2505,34.0621,-0.574509,292.98,0.063804
52.4229,208.1439,84.2865,34.071,-0.574431,294.75,0.06419
53.8442,207.2241,84.3231,34.0768,-0.574357,296.52,0.064574
55.2603,206.3077,84.3478,34.0844,-0.574322,298.04,0.064905
56.6769,205.3912,84.3724,34.0911,-0.574262,299.81,0.065291
58.0939,204.4746,84.391,34.0959,-0.574173,301.58,0.065677
59.5113,203.5579,84.4174,34.1035,-0.574076,303.1,0.066008
60.9295,202.6409,84.4534,34.109,-0.573961,304.87,0.066394
62.3482,201.7239,84.4841,34.1153,-0.573818,306.65,0.06678
63.7677,200.8068,84.507,34.1212,-0.573631,308.17,0.067111
65.1877,199.8897,84.5406,34.1293,-0.57343,309.95,0.067499
66.6085,198.9725,84.5696,34.1353,-0.573255,311.72,0.067885
68.0298,198.0552,84.5908,34.1387,-0.573127,313.24,0.068217
69.4515,197.1378,84.6136,34.145,-0.573025,315.01,0.068601
70.8739,196.2204,84.6432,34.1523,-0.57288,316.8,0.06899
72.2968,195.3029,84.6699,34.1581,-0.572705,318.32,0.069321
73.7204,194.3852,84.7006,34.1671,-0.572578,320.1,0.06971
75.1446,193.4675,84.7305,34.171,-0.572433,321.88,0.070097
76.5693,192.5496,84.7568,34.1764,-0.572313,323.4,0.070429
77.9947,191.6315,84.7853,34.1847,-0.572199,325.19,0.070818
79.4206,190.7133,84.8106,34.1916,-0.572121,326.96,0.071204
80.8483,189.7941,84.8303,34.1983,-0.572009,328.49,0.071536
82.2752,188.8758,84.8587,34.2033,-0.571858,330.27,0.071924
83.7028,187.9574,84.8931,34.2098,-0.571652,332.06,0.072314
85.1311,187.0389,84.9214,34.2165,-0.571484,333.59,0.072647
86.56,186.1204,84.946,34.2243,-0.571317,335.37,0.073035
88.005,185.1918,84.9574,34.23,-0.571163,337.15,0.073423
89.4348,184.2735,84.9779,34.2366,-0.570955,338.68,0.073757
90.8653,183.355,85.0199,34.2449,-0.570738,340.47,0.074145
92.2967,182.4366,85.0527,34.254,-0.570449,342.25,0.074534
93.7289,181.5184,85.0729,34.2539,-0.570151,343.78,0.074866
95.1616,180.6003,85.0924,34.2562,-0.569891,345.57,0.075256
96.5949,179.6824,85.1207,34.2646,-0.569567,347.35,0.075645
